Project  Name,Floor,product_id,Status ,Bedrooms,Bathrooms,View Orientation,Size per m sqaured,Initial Price (posted) in UF Chileno,Initial Price per m squared,Sold Price in UF Chileno,Sold Price per m squared,Region,Date
VISTA PACIFICO,17,1705,Available,4,4,SE,146,10724,73.45,,,Norte,
VISTA PACIFICO,17,1706,Available,4,4,NE,146,11189,76.64,,,Norte,
ARQ. SAN MIGUEL,16,1601,Sold,3,2,NW,87,3251,37.37,3251,37.37,Santiago,2/25/2019
ARQ. SAN MIGUEL,16,1602,Sold,3,2,NE,87,3555,40.86,3555,40.86,Santiago,2/25/2019
ARQ. SAN MIGUEL,16,1603,Sold,2,2,E,73,2800,38.36,2800,38.36,Santiago,2/25/2019
ARQ. SAN MIGUEL,16,1604,Sold,3,2,SE,87,3417,39.28,3417,39.28,Santiago,2/25/2019
ARQ. SAN MIGUEL,16,1605,Sold,3,2,SW,87,2953,33.94,2953,33.94,Santiago,2/25/2019
ARQ. SAN MIGUEL,16,1606,Sold,2,2,W,73,2522,34.55,2522,34.55,Santiago,2/25/2019
CONDOMINIO GRAN PACIFICIO TORRE 4,16,1601,Available,4,3,SE,99,6674,67.41,,,Santiago,
CONDOMINIO GRAN PACIFICIO TORRE 4,16,1602,Available,2,2,SW,60,4424,73.73,,,Santiago,
CONDOMINIO GRAN PACIFICIO TORRE 4,16,1603,Available,4,3,NW,105,7500,71.43,,,Santiago,
CONDOMINIO GRAN PACIFICIO TORRE 4,16,1604,Available,4,3,NE,99,6674,67.41,,,Santiago,
CONDOMINIO GRAN PACÍFICO TORRE 2,16,1601,Sold,3,2,SW,92,4938,53.67,4938,53.67,Norte,1/17/2019
CONDOMINIO GRAN PACÍFICO TORRE 2,16,1602,Sold,3,2,NW,92,5345,58.1,5345,58.1,Norte,1/17/2019
CONDOMINIO GRAN PACÍFICO TORRE 2,16,1603,Available,3,2,NE,90,4835,53.72,4835,53.72,Norte,7/21/2022 12:22
CONDOMINIO GRAN PACÍFICO TORRE 2,16,1604,Sold,3,2,SE,90,4300,47.78,4300,47.78,Norte,5/10/2021
CONDOMINIO GRAN PACÍFICO TORRE 3,16,1601,Available,3,2,SW,88,5758,65.43,5758,65.43,Norte,10/3/2022 19:48
CONDOMINIO GRAN PACÍFICO TORRE 3,16,1602,Reserved,3,2,NW,88,5241,59.56,5241,59.56,Norte,10/3/2022 12:21
CONDOMINIO GRAN PACÍFICO TORRE 3,16,1603,Available,3,2,NE,87,5809,66.77,5809,66.77,Norte,5/23/2022 11:04
CONDOMINIO GRAN PACÍFICO TORRE 3,16,1604,Available,3,2,SE,87,5809,66.77,5809,66.77,Norte,5/23/2022 11:04
COSTANERA HUAYQUIQUE ETAPA II,16,1601,Available,3,2,NENW,99,6458,65.23,6458,65.23,Norte,10/3/2022 12:43
COSTANERA HUAYQUIQUE ETAPA II,16,1602,Available,3,2,W,91,6043,66.41,6043,66.41,Norte,10/21/2022 13:21
COSTANERA HUAYQUIQUE ETAPA II,16,1603,Available,3,2,W,91,5841,64.19,5841,64.19,Norte,10/5/2022 10:22
COSTANERA HUAYQUIQUE ETAPA II,16,1604,Sold,4,3,SESW,115,6155,53.52,6155,53.52,Norte,11/23/2021
COSTANERA HUAYQUIQUE ETAPA II,16,1605,Sold,1,1,E,42,2477,58.98,2477,58.98,Norte,3/5/2021
COSTANERA HUAYQUIQUE I,16,1601,Sold,3,2,NW,98,4297,43.85,4297,43.85,Norte,1/29/2019
